"Name","Country","Years.active","Proven.victims","Possible.victims","Notes","Proven.victims.","Miscellaneous.information","Proven victims","Proven victims*","victims"
"Richard Cottingham","United States","1977 to 1980",NA,"85–100",NA,"5","Killer operating in New York and New Jersey who often targeted prostitutes and utilized mutilation as well as dismemberment in his killings. Known as the ""Torso Killer"", convicted of five murders. He made claims of victim count as up to a hundred, however, there was no evidence to support this and is considered unsubstantiated.",0,5,5
"Zodiac Killer","United States","1962 to 1977",NA,"37",NA,"5","Targeted young couples. Remains unsolved but open in the California jurisdictions the 5 certain Zodiac murders occurred. Potentially 37 total victims claimed but unverified.[73]",0,5,5
"John Floyd Thomas","United States","1957 to 2009",NA,"17–25",NA,"5","Serial murderer and rapist with one of the longest criminal careers in the US.",0,5,5
"Carl Panzram","United States","1915 to 1929",NA,"22",NA,"5","From 1920 to 1928, he claimed in a posthumous autobiography to have committed over 22 killings, and sodomy of more than 1,000 young men. Hanged on September 5, 1930.",0,5,5
"Steve Wright","United Kingdom","2006",NA,"5–22",NA,"5","Referred to as ""Suffolk murders"", ""Ipswich murders"", ""Ipswich Ripper"", ""Suffolk Ripper"", ""Suffolk Strangler"", ""East Anglia Ripper"", ""Red Light Ripper"" and ""the Suffolkator"". Murdered five prostitutes, all of whom worked in Ipswich in 2006. There are possible links to previous Suffolk prostitute killings.",0,5,5
"Hubert Pilčík","Czech Republic","1948 to 1951",NA,"10+[74]",NA,"5","Made money smuggling people across the Czechoslovakia-Germany border, but killed most of his customers.",0,5,5
"William Patrick Fyfe","Canada","1979 to 1999",NA,"9",NA,"5","Convicted of killing five women in the Montreal area of Quebec, although he claims to have killed four others. Serving a life sentence in West Canada.",0,5,5
"Melvin Rees","United States","1957 to 1959",NA,"9",NA,"5","Known as ""The Sex Beast""; shot and defiled a woman in 1957, torture-murdered a family of four in 1959 and suspected in four other killings.",0,5,5
"David Maust","United States","1974 to 2003",NA,"9",NA,"5","Killed teenage boys; caught when bodies of three boys were found in the concrete floor of his basement in Hammond, Indiana. Committed suicide in prison in 2006.",0,5,5
"Danny Rolling","United States","1989 to 1990",NA,"8",NA,"5","Known as the ""Gainesville Ripper""; murdered five students in August 1990. Executed on October 6, 2006. Shortly before his execution, he gave a handwritten confession to authorities for a triple homicide of an elderly man, his adult daughter, and young grandson that occurred years earlier in Rolling's hometown of Shreveport, LA. Although Rolling was never officially charged or extradicted to LA to stand trial for the ""Grissom Murders"", Shreveport Police had confirmed even before the confession that Rolling had long been considered the lone suspect and the case was closed.",0,5,5
"Allan Joseph Legere","Canada","1989",NA,"7+",NA,"5","Convicted of killing five people in the Miramichi area, New Brunswick. Legere is now serving a life sentence Canada's only super maximum prison (Special Handling Unit).",0,5,5
"Joseph E. Duncan III","United States","1996 to 2005",NA,"7",NA,"5","Convicted of killing a California boy in 1997 and 4 members of an Idaho family in 2005. Confessed to two 1996 murders in Washington state, but has not been formally charged. Currently on U.S. federal death row.",0,5,5
"Stephen Akinmurele","United Kingdom","1995 to 1998",NA,"7",NA,"5","Known as ""The Cul-de-sac Killer"". Considered mentally ill, Akinmurele had a ""pathological hatred"" of old people and had committed crimes against them since he was 11. Killed himself in prison.",0,5,5
"Vincent Johnson","United States","1999 to 2000",NA,"6",NA,"5","""The Brooklyn Strangler"".",0,5,5
"Harvey Carignan","United States","1949 to 1973",NA,"5+",NA,"5","Known as ""The Want-Ad Killer""; raped and beat 4 young women to death in 1972 and 1973; escaped hanging for a 1949 killing on a technicality.",0,5,5
"Edward Edwards","United States","1977 to 1996",NA,"5+",NA,"5","Shot a young couple in 1977 and stabbed and strangled another in 1980; died months prior to execution on April 7, 2011 for shooting his foster son in 1996 insurance murder.",0,5,5
"Vinko Pintarić","Croatia","1973 to 1990",NA,"5+",NA,"5","Murdered five people, including his wife, between 1973 and 1990. Escaped from custody three times, killed in a 1991 shootout with the police.",0,5,5
"William Dathan Holbert","Panama","2010 and earlier",NA,"5+",NA,"5","Known as ""Wild Bill""; American expatriate who had the bodies of five other Americans buried on his property. He would kill people to get their money and properties. His wife, Laura Michelle Reese, was also arrested.[75]",0,5,5
"Elisabeth Wiese","Germany","1902 to 1903",NA,"",NA,"5","Known as the ""Angel Maker of St. Pauli""; baby farmer who poisoned her grandchild and four others with morphine and burned their bodies in a stove in 1902 and 1903.",0,5,5
"Phantom Killer","United States","1946",NA,"",NA,"5","Believed to have committed the Texarkana Moonlight Murders in Texas between February 23 and May 4, 1946.",0,5,5
"Thomas Dillon","United States","1973 to 1990",NA,"",NA,"5","Shot five men in southeastern Ohio: one while jogging, two deer hunting and two fishing.",0,5,5
"San Mateo slasher","United States","1976",NA,"",NA,"5","Known as the ""Gypsy Hill killings""; five unsolved killings, of young women in San Mateo County, California during early 1976.",0,5,5
"Honolulu Strangler","United States","1985 to 1986",NA,"",NA,"5","Raped and strangled five young women in Hawaii in 1985 and 1986.",0,5,5
"Anthony Kirkland","United States","1987 to 2009",NA,"",NA,"5","Kirkland murdered four females between 2006 and 2009, three of them children, following a 16-year prison term for the murder of another woman.",0,5,5
"William MacDonald","Australia","1961 to 1962",NA,"",NA,"5","Murdered derelicts in Sydney and Brisbane between 1960 and 1962; sentenced to five consecutive life sentences.",0,5,5
"Marc Dutroux","Belgium","1995 to 1996",NA,"",NA,"5","Serial killer convicted of having kidnapped, tortured and sexually abused six girls ranging in age from 8 to 19, four of whom he murdered; also tortured and murdered his accomplice, Bernard Weinstein.",0,5,5
"Harry Powers","United States","1931",NA,"",NA,"5","""Lonely Hearts"" swindler and conman. Killed two women and three children in Quiet Dell, West Virginia. Arrested after the bodies were found buried near his garage in 1931 and hanged in 1932.",0,5,5
"Anna Marie Hahn","United States","1933 to 1937",NA,"",NA,"5","German-born murder-for-profit killer who poisoned five elderly men; executed in 1938.",0,5,5
"Robert Nixon","United States","1936 to 1938",NA,"",NA,"5","Killed 5 women in the 1930s with bricks. Executed by electrocution in Illinois on June 15, 1939.",0,5,5
"Waneta Hoyt","United States","1965 to 1971",NA,"",NA,"5","New York woman who murdered her five children.",0,5,5
"Janie Lou Gibbs","United States","1966 to 1967",NA,"",NA,"5","Georgia poisoner who killed five family members. Sentenced to life. Died in prison on February 7, 2010.",0,5,5
"South Dade Killer","United States","1975",NA,"",NA,"5","Known as the ""Flat-Tire murders"". Killed 5 women in 1975.",0,5,5
"Gerald Parker","United States","1978 to 1979",NA,"",NA,"5","Known as ""The Bedroom Basher"" raped and murdered five women and killed the unborn baby of a sixth woman in Orange County, California.",0,5,5
"Phillip Carl Jablonski","United States","1978 to 1991",NA,"",NA,"5","convicted of killing five women in California and Utah between 1978 and 1991. Sentenced to death in 1994.",0,5,5
"Arthur Gary Bishop","United States","1979 to 1983",NA,"",NA,"5","Utah man who murdered five young boys; executed in 1988.",0,5,5
"Faryion Wardrip","United States","1984 to 1986",NA,"",NA,"5","Killed five young women around Wichita Falls, Texas between 1984 and 1986.",0,5,5
"Timothy Wilson Spencer","United States","1984 to 1987",NA,"",NA,"5","Known as ""The Southside Strangler""; raped and killed five women in Virginia. Executed in the electric chair on April 27, 1994.",0,5,5
"Gary Evans","United States","1985 to 1997",NA,"",NA,"5","Antique thief who shot to death two shop owners and three accomplices who he suspected of stealing from him between 1985 and 1997.",0,5,5
"Robert Shulman","United States","1991 to 1996",NA,"",NA,"5","Convicted of murdering five prostitutes between 1991 and 1996.",0,5,5
"Elias Abuelazam","United States","2009 to 2010",NA,"",NA,"5","Known as ""The Serial Slasher"". Israeli-Arab immigrant that stabbed victims to death. Sentenced to life on June 25, 2012.",0,5,5
"Joachim Knychała","Poland","1975 to 1982",NA,"",NA,"5","Known as ""The Vampire of Bytom"" or ""Frankenstein"", who murdered five women between 1975 and 1982.[76]",0,5,5
"Archibald Hall","United Kingdom","1977",NA,"",NA,"5","Called ""The Monster Butler"". Died in prison in 2002.",0,5,5
"Colin Ireland","United Kingdom","1993",NA,"",NA,"5","Called ""The Gay Slayer"". A highly organized serial killer, Ireland picked passive masochist gay men in the Coleherne public house, accompanied them home, and murdered them after they were voluntarily restrained. He then cleaned the house of forensic evidence and left when he was sure of not appearing suspicious.",0,5,5
"Claude Lastennet","France","1993 to 1994",NA,"",NA,"5","Convicted of murdering 5 old women between August 1993 and January 1994.[77]",0,5,5
"Metod Trobec","Slovenia","1976 to 1978",NA,"",NA,"5","Raped, killed and cremated five women in his home. Also tried to murder two other immates while in prison before committing suicide in his cell in 2006.",0,5,5
"Romulus Vereş","Romania","1970s",NA,"",NA,"5","Known as ""The Hammer Man"". Institutionalized.",0,5,5
"Willem van Eijk","Netherlands","1971 to 2001",NA,"",NA,"5","Known as ""The Beast of Harkstede"".",0,5,5
"Akira Nishiguchi","Japan","1963",NA,"",NA,"5","Fraudster, murdered two people while engaging in confidence scams and killed three others while on the run from justice. Hanged in 1970.",0,5,5
"Boris Gusakov","Russia","1964 to 1968",NA,"",NA,"5","Known as ""Student Hunter""; committed 15 sexual assaults, including 5 murders, on girls and young women from 1964 to 1968.",0,5,5
"Anatoly Biryukov","Russia","1977",NA,"",NA,"5","Known as ""The Hunter of Babies"": responsible for the kidnappings and subsequent murders of five infants from Moscow in the fall of 1977.",0,5,5
"Süleyman Aktaş","Turkey","1986 to 1994",NA,"",NA,"5","Known as ""The Nailing Killer"": responsible for the murders of five people in 1986 and 1994.",0,5,5
"B1 Butcher","Namibia","2005 to 2007",NA,"",NA,"5","Murdered at least five women between 2005 and 2007, with all murders related to the National Road B1.",0,5,5
"Max Gufler","Austria","1946 to 1958",NA,"18+",NA,"4","Convicted of killing four women and suspected of at least 18 murders.",0,4,4
"Baekuni","Indonesia","1993 to 2010",NA,"14",NA,"4","Killed street children. Sentenced to life in prison on October 5, 2010.",0,4,4
"Angus Sinclair","United Kingdom","1961 to 1978",NA,"8",NA,"4","Convicted of the murders of four females; believed to have murdered eight.",0,4,4
"Tony Costa","United States","1968 to 1969",NA,"8",NA,"4","Dismembered and mutilated 4 women in Cape Cod in the late 1960s; linked to at least 4 other deaths and disappearances.",0,4,4
"Robert Rozier","United States","1981 to 1986",NA,"7",NA,"4","Former NFL player that was convicted of four murders but confessed to seven as a member of the Nation of Yahweh.",0,4,4
"Leonard Fraser","Australia","1998 to 1999",NA,"7",NA,"4","Serial rapist and pedophile who murdered four women in Rockhampton. Sentenced to five consecutive life sentences plus 25 years without the possibility of parole; died in prison of a heart attack in 2007.",0,4,4
"Ricardo Caputo","Argentina","1971 to 1983",NA,"6",NA,"4","Was #1 of the FBI Ten Most Wanted Fugitives during his time as a fugitive in the 1980s. Surrendered himself to justice in 1994 and died of cardiac arrest in prison three years later.",0,4,4
"Robert Black","United Kingdom","1981 to 1986",NA,"5+",NA,"4","Convicted of kidnapping, raping and murdering four girls aged between 5 and 11. Suspect in other earlier child murders in the UK and other European countries. Died weeks before he was to be charged with a fifth child murder.[78]",0,4,4
"Anthony Allen Shore","United States","1986 to 1995",NA,"5",NA,"4","Known as ""The Tourniquet Killer""; convicted of strangling a woman with an unusual ligature in 1992 and confessed to killing three girls including two with same MO.",0,4,4
"Daytona Beach killer","United States","2005 to 2007",NA,"5",NA,"4","Murdered four, possibly five, women in Daytona Beach, Florida between 2005 and 2007.",0,4,4
"Jozef Slovák","Slovakia","1978 to 1991",NA,"4+",NA,"4","Suspected by investigators of more murders, but only four could be proven.",0,4,4
"Monster of Udine","Italy","1980 to 1989",NA,"4+",NA,"4","Killed at least 4 victims in the Province of Udine, Italy.[79]",0,4,4
"John Martin Crawford","Canada","1981 to 1992",NA,"4+",NA,"4","Convicted in 1996 for the murders of three native women.",0,4,4
"Oakland County Child Killer","United States","1976 to 1977",NA,"4+",NA,"4","Also known as ""The Babysitter"". Responsible for the murders of four or more children in Oakland County, Michigan in 1976 and 1977.",0,4,4
"Dallen Bounds","United States","1999",NA,"4+",NA,"4","Killed 4 people in South Carolina. After killing two acquaintances, he barricaded himself with two women and committed suicide on December 23, 1999.",0,4,4
"Wayne Adam Ford","United States","1997-1998",NA,"4+",NA,"4","Confessed to murdering four women; believed to have killed others.",0,4,4
"Heinrich Pommerenke","Germany","1959",NA,"4+",NA,"4","Killed four women.",0,4,4
"Caroline Grills","Australia","1947 to 1953",NA,"",NA,"4","Poisoned four people (most of them relatives) with thallium hidden in tea and scones she had given them in Sydney. Sentenced to five consecutive life sentences (including one for attempting to poison another family member); died from peritonitis in 1960.",0,4,4
"Arnold Sodeman","Australia","1930 to 1935",NA,"",NA,"4","Also called the ""Schoolgirl Strangler"", because he preyed on girls between the ages of 8-12. He lured at least two of his victims by offering to buy them ice cream and offered another victim a ride on his bicycle. Convicted and hanged in 1936.",0,4,4
"Gordon Cummins","United Kingdom","1942",NA,"",NA,"4","Raped three of his victims and robbed the remaining one. Also attacked two other women. Sentenced to death by hanging.",0,4,4
"Marc Sappington","United States","2001",NA,"",NA,"4","Schizophrenic serial killer who heard voices telling him to kill after extended daily PCP use. He cannibalized part of his last victim.",0,4,4
"James Vlassakis","Australia","1997 to 1999",NA,"",NA,"4","Snowtown murderer and stepson of John Justin Bunting; sentenced to four consecutive life sentences with a non-parole period of 26 years.",0,4,4
"Peter Woodcock","Canada","1956 to 1991",NA,"",NA,"4","Sexual sadist and child rapist. Killed three young children in Toronto in the 1950s. Sentenced to a psychiatric facility, where he murdered a fellow inmate in 1991.",0,4,4
"Léopold Dion","Canada","1963",NA,"",NA,"4","Known as the ""Monster of Port-Rouge"". Canadian sex offender and serial killer who was active in Quebec. Sentenced to hang but stabbed to death on November 17, 1972 by fellow inmate named Normand “Lawrence d'Arabie” Champagne, who was found not guilty by reason of insanity.",0,4,4
"Lam Kor-wan","Hong Kong","1980s",NA,"",NA,"4","Taxi driver and one of Hong Kong's only two known serial killers. Famous for keeping body parts in his parents' home.",0,4,4
"Kathleen Folbigg","Australia","1991 to 1999",NA,"",NA,"4","Mother convicted of murdering her three infant children and the manslaughter of a fourth child. Sentenced to 30 years imprisonment with a non-parole period of 25 years.",0,4,4
"David Meirhofer","United States","1967 to 1974",NA,"",NA,"4","Killed three children and an ex-girlfriend between 1967 and 1974; first serial killer apprehended by offender profiling.",0,4,4
"Jerry Brudos","United States","1968 to 1969",NA,"",NA,"4","Electronics technician who bludgeoned and strangled four young women while dressed up in women's clothing. Known as the ""Lust Killer"" and ""Shoe Fetish Slayer"".",0,4,4
"Erno Soto","United States","1972 to 1973",NA,"",NA,"4","Stabbed young boys and cut off their genitals in attempt to transform them into girls in East Harlem and on the Upper West Side of New York. Known as ""Charlie Chop-Off"".",0,4,4
"William Henry Hance","United States","1977 to 1978",NA,"",NA,"4","Known as ""The Forces Of Evil""; soldier who killed four women around military bases in 1977 and 1978.",0,4,4
"Thor Nis Christiansen","United States","1977 to 1979",NA,"",NA,"4","Shot dead and committed necrophilia on 4 young women in Isla Vista, California in the late 1970s. Stabbed to death in prison on March 30, 1981; killer unknown.",0,4,4
"Craig Price","United States","1987 to 1989",NA,"",NA,"4","Known as ""The Warwick Slasher""; teenager who stabbed two women and two children in Rhode Island in the late 1980s.",0,4,4
"James Swann","United States","1993",NA,"",NA,"4","Known as The Shotgun Stalker; killed 4 and injured 5 in Washington D.C. in 1993.",0,4,4
"Cary Stayner","United States","1999",NA,"",NA,"4","Known as ""The Yosemite Killer"". Killed four women in Yosemite, California. Sentenced to death. Brother of kidnapping victim Steven Stayner.",0,4,4
"Scott Lee Kimball","United States","2003 to 2004",NA,"",NA,"4","Known as ""Joe Snitch""; FBI informant who pleaded guilty to two of at least four murders in Colorado including those of his uncle and three female acquaintances.",0,4,4
"Eastbound Strangler","United States","2006",NA,"",NA,"4","Killed four women in October and November 2006 in Atlantic City, NJ. Each was placed about sixty feet apart in a drainage ditch filled with shallow water. They were facing east and missing their socks.",0,4,4
"Tsutomu Miyazaki","Japan","1988 to 1989",NA,"",NA,"4","Mutilated and killed four girls, aged between four and seven, and sexually molested their corpses. He drank the blood of one victim and ate her hands.",0,4,4
"Raúl Osiel Marroquín","Mexico","2005",NA,"",NA,"4","Called ""The Sadist"". Lured men in gay bars and strangled them, abandoning their bodies inside suitcases all over Mexico City. Two other victims were released after demanding a ransom from their families.",0,4,4
"Frank Gust","Germany","1994 to 1998",NA,"",NA,"4","Kill four women form 1994 to 1998. Sentenced to life imprisonment.",0,4,4
"Fritz Honka","Germany","1971 to 1974",NA,"",NA,"4","Murdered four women in Hamburg and kept the bodies in his apartment. Sentenced to life in prison in 1975, released in 1993, and died on October 19, 1998.",0,4,4
"Jürgen Bartsch","Germany","1962 to 1966",NA,"",NA,"4","Killed four, one escaped; died by wrongful overdose during castration surgery.",0,4,4
"Cayetano Santos Godino","Argentina","1912",NA,"",NA,"4","Known as Petiso Orejudo (""the Big-eared Midget""). Teenage arsonist, animal killer and child murderer with congenital syphilis. Arrested at age 16 in 1912 for killing 4 children, although he tried to kill seven more, the first one when he was seven himself. Interned in 1913 in a reformatory, where he tried to kill other immates, and from 1915 in prison. Died in jail in 1948.",0,4,4
"Peter Moore","United Kingdom","1995",NA,"",NA,"4","Stabbed and mutilated four men. Imprisoned for life since 1996.",0,4,4
"John Cooper","United Kingdom","1985 to 1989",NA,"",NA,"4","Armed robber and rapist. Murdered two couples.",0,4,4
"Steven Grieveson","United Kingdom","1993 to 1994",NA,"",NA,"4","Murdered four boys in an attempt to conceal his homosexuality.",0,4,4
"Michael Lupo","United Kingdom","1986",NA,"",NA,"4","Called himself ""The Wolf Man"". Murdered four men after being diagnosed with HIV, died in prison in 1995.",0,4,4
"Robert Maudsley","United Kingdom","1973 to 1978",NA,"",NA,"4","Killed three fellow inmates while being held in a mental institution for his first murder. In solitary confinement since 1983.",0,4,4
"Donald Neilson","United Kingdom","1971 to 1975",NA,"",NA,"4","Armed robber and murderer known as the ""Black Panther"". Died in prison in 2011.",0,4,4
"Colin Norris","United Kingdom","2001 to 2002",NA,"",NA,"4","Nurse convicted of killing four patients in Leeds hospitals.",0,4,4
"Dale Cregan","United Kingdom","2012",NA,"",NA,"4","Sentenced to a whole life order in prison for four counts of homicide involving the use of firearms—including killing two police officers—and three separate counts of attempted murder.[80]",0,4,4
"Alexander Tchayka","Russia","1994",NA,"",NA,"4","All the victims were women wearing fur coats and were stabbed multiple times (21 in one case).",0,4,4
"Wayne Boden","Canada","1968 to 1971",NA,"",NA,"4","Known as ""the Vampire Rapist"" killed 4 women between 1968–1971; died in prison 2006",0,4,4
"Cody Legebokoff","Canada","2009 to 2010",NA,"",NA,"4","Committed four murders from 2009 to 2010.",0,4,4
"Ion Rîmaru","Romania","1970 to 1971",NA,"",NA,"4","Known as ""The Vampire of Bucharest"". Attacked 15 lone waitresses as they returned from work with a hammer, hatchet, knife or iron bar, always after midnight and under unusual weather (snowstorms, fog, hard rain, etc.). Four were killed.",0,4,4
"Peter Lundin","Denmark","1991 to 2000",NA,"",NA,"4","Killed his mother in 1991, then killed his mistress and her two children 9 years later; Sentenced to prison.",0,4,4
"Hiroaki Hidaka","Japan","1996",NA,"",NA,"4","Killed and robbed four women. Hanged in 2006.",0,4,4
"Nicolai Bonner","Israel","2005",NA,"",NA,"4","Born in Moldova, Bonner beat to death four fellow immigrants from the former Soviet Union, three of whom were homeless, and then tried to set them on fire. Sentenced to life imprisonment in 2007.",0,4,4
"John Ingvar Lövgren","Sweden","1958 to 1963",NA,"",NA,"4","Confessed to four murders committed between 1958 and 1963 in the Stockholm region.",0,4,4
"Richard Kuklinski","United States","1948 to 1986",NA,"100–250",NA,"3","",0,3,3
"Robert Ben Rhoades","United States","1989 to 1990",NA,"50+",NA,"3","Convicted of murdering 3 women in Texas and Illinois between 1989 and 1990. Sentenced to life imprisonment.",0,3,3
"Billy Glaze","United States","1986 to 1987",NA,"20+",NA,"3","Known as ""Butcher Knife Billy"". Killer convicted of raping and murdering three Native American prostitutes in Minneapolis in 1986 and 1987.",0,3,3
"Bertha Gifford","United States","1909 to 1928",NA,"17",NA,"3","Found not guilty by reason on insanity of three arsenic poisonings by insanity and suspected of 14 other killings, mostly children, in Missouri.",0,3,3
"Ronald Janssen","Belgium","1990s to 2010",NA,"15+",NA,"3","Teacher who killed 3. Linked to 15 other killings, usually the rape and murder of young women. Sentenced to life in 2011.[81]",0,3,3
"Stephen Griffiths","United Kingdom","2009 to 2010",NA,"14",NA,"3","Known to have killed 3 prostitutes, but claims to have killed 14 to beat ""Yorkshire Ripper"" Peter Sutcliffe. Dubbed himself the ""Crossbow Cannibal"" as he killed his victims with a hammer and crossbow and then later ate parts of them.",0,3,3
"Peter Tobin","United Kingdom","1991 to 2006",NA,"13+",NA,"3","Scottish rapist and serial killer known to have killed at least three young women. Also a suspect in the Bible John murders, committed in Glasgow during the late 1960s.",0,3,3
"Koos Hertogs","Netherlands","1979 to 1980",NA,"12",NA,"3","Dutch serial killer convicted of abducting, torturing, raping and killing three girls. Suspected of killing a further 3 to 9 girls and young women in the 1970s.",0,3,3
"Dorothea Montalvo Puente","United States","1982 to 1988",NA,"9–25",NA,"3","Ran a boarding house in Sacramento where she poisoned tenants and buried them in the yard in order to steal their social security checks.",0,3,3
"Albert Fish","United States","1924 to 1928",NA,"9",NA,"3","Convicted and executed for the kidnapping, rape, murder and cannibalization of three children in New York, suspected of the deaths of six more children and teenagers. Likely insane (though his insanity plea was denied to make possible his execution), Fish boasted that he ""had children in every state"" and at one point claimed 100 victims.",0,3,3
"Theodore Kaczynski","United States","1978 to 1995",NA,"8",NA,"3","Also known as the Unabomber, Kaczynski lived isolated in Montana before his arrest in 1998, sending mail bombs and reactive bombs all over the country to anyone who had a pro-technological stance. Federal authorities were informed of Kaczynski's possible involvement by his brother when he recognized the writing of the Unabomber Manifesto in the New York Times.",0,3,3
"Pierre Chanal","France","1980 to 1987",NA,"8",NA,"3","Convicted of killing 3 young men between 1980 and 1987. Committed suicide in 2003.",0,3,3
"Michael Lee Lockhart","United States","1987 to 1988",NA,"6+",NA,"3","Multi-state serial killer who received death sentences in three states (Florida, Indiana, and Texas). He was executed in 1997 in Texas.",0,3,3
"Michael Gargiulo","United States","1993 to 2008",NA,"6",NA,"3","Dubbed the ""Chiller Killer"" and AKA the ""Hollywood Ripper"" whose killing sprees spanned from 1993–2000 in Chicago and 2001–2008 in Santa Monica, CA and Los Angeles, CA area. Notable for killing Ashton Kutcher's former girlfriend Ashley Ellerin",0,3,3
"Peter Dupas","Australia","1997 to 1999",NA,"6",NA,"3","Sexual sadist from Melbourne, who murdered three women and is suspected of at least three further killings. Was convicted of 16 separate acts of sexual violence before his first murder charge. Serving three consecutive life sentences without the possibility of parole.",0,3,3
"Patrick Mackay","United Kingdom","1973 to 1975",NA,"5–13",NA,"3","Burglar suspect of 12 violent murders during robberies, charged with five and convicted of three. Bragged that he had killed 11 people. In prison for life.",0,3,3
"Judy Buenoano","United States","1971 to 1980",NA,"5",NA,"3","Poisoned her husband, boyfriend and son with arsenic; drowned the son in 1980 but caught in 1983 after poisoning and car bombing a fiancee.",0,3,3
"Paul Kenneth Bernardo","Canada","1990 to 1992",NA,"5",NA,"3","The ""Scarborough Rapist"", later gained national infamy when he moved into torturing and killing teenage girls, assisted by his wife, Karla Homolka.",0,3,3
"Paul Denyer","Australia","1993",NA,"5",NA,"3","The ""Frankston Killer"", sentenced to three consecutive life sentences with a non-parole period of 30 years.",0,3,3
"Bandali Debs","Australia","1997 to 1998",NA,"5",NA,"3","Convicted of the murder of Kirsty Harty at Upper Beaconsfield in 1997, and of the Moorabbin Police murders 14 months later to avoid arrest for a string of armed robberies; sentenced to three consecutive life sentences plus 27 years without the possibility of parole.",0,3,3
"Martin Ney","Germany","1992 to 2004",NA,"5",NA,"3","Wore a mask while killing 3 and sexually assaulting at least 40 children.",0,3,3
"Elfriede Blauensteiner","Austria","1981 to 1995",NA,"5",NA,"3","Known as ""The Black Widow"". Poisoned victims and inherited possessions. Died from a brain tumor on 18 November 2003 in a Vienna Hospital.",0,3,3
"Gordon Northcott","United States","1928",NA,"4–20",NA,"3","Pedophile who abducted and murdered boys aged between 10 and 12 in Los Angeles and then disposed of the bodies with the help of his mother, Sarah Louise Northcott, and his underage nephew Sanford Clark, whom Northcott had repeatedly threatened and sexually abused. Police considered Northcott a suspect in the disappearance of as many as 20 missing boys in the area that Northcott admitted to have molested, but not murdered; one of these boys surfaced years later alive and confirmed Northcott's version. According to Clark, only four boys were held and murdered in Northcott's property; the three LA children whose remains were found and for whom Northcott was hanged, and an unidentified Mexican boy that Northcott beheaded and disposed of the body near La Puente, California.",0,3,3
"Vlado Taneski","Macedonia","2005 to 2008",NA,"4",NA,"3","A crime journalist, Taneski came under suspicion when his articles on the rape and murder of three elderly women included information that had not been disclosed by the police. All the victims were poor, uneducated cleaners and knew Taneski's mother. Taneski killed himself in prison before he could be interrogated for the murder of a fourth woman.",0,3,3
"Peter Kudzinowski","United States","1924 to 1928",NA,"4",NA,"3","Convicted and executed for the murder of an adult in Scranton, Pennsylvania and two children in New Jersey. Also suspect in the death of two other children in New York City, although Albert Fish later confessed to have murdered one of them himself.",0,3,3
"Harvey Glatman","United States","1957 to 1958",NA,"4",NA,"3","Known as ""The Lonely Hearts Killer""; Californian rapist and killer; lured women to pose for ""bondage photographs""; executed in the gas chamber on September 18, 1959.",0,3,3
"Martha Ann Johnson","United States","1977 to 1982",NA,"4",NA,"3","Convicted of smothering three of her children in Atlanta between 1977 and 1982. Sentenced to life in prison on May 5, 1990.",0,3,3
"Louise Peete","United States","1912 to 1942",NA,"3+",NA,"3","Convicted of murdering a man and woman decades apart, four other acquaintances died suspiciously and four husbands committed suicide.",0,3,3
"Stephen Morin","United States","1981",NA,"3+",NA,"3","Killed three women and executed by Texas on March 13, 1985. Was also suspected in over 30 unsolved crimes.",0,3,3
"Westley Allan Dodd","United States","1989",NA,"3+",NA,"3","Dodd had an extensive arrest record for molesting children by the time his behavior escalated to include murder. Refusing to appeal his death sentence, he stated that he ""should be punished to the full extent of the law, as should all sex offenders and murderers"", and that if he ever escaped, he would immediately return to ""killing and raping kids"". Executed in 1993; his hanging was the first in the United States in 28 years.",0,3,3
"Scott Erskine","United States","1989 to 1993",NA,"3+",NA,"3","Convicted of raping and murdering a woman in 1989 and the torture-murders of 2 boys in 1993. May be linked to other murders.",0,3,3
"Donald Leroy Evans","United States","1985 to 1991",NA,"3+",NA,"3","Murdered a young girl and two women. Suspected of another dozen murders but recanted confessions to over 70 more. Stabbed to death by another death row inmate on January 5, 1999.",0,3,3
"Richard Evonitz","United States","1996 to 1997",NA,"3+",NA,"3","Abducted and killed 3 girls in Spotsylvania County, Virginia in 1996 and 1997",0,3,3
"Akku Yadav","India","2004 and earlier",NA,"3+",NA,"3","Murdered at least three people and dumped their bodies on the railroad tracks; lynched by a mob of around 200 women.[82]",0,3,3
"Levi Bellfield","United Kingdom","2002 to 2004",NA,"3+",NA,"3","Known as the ""Bus Stop Stalker""; convicted of the 2002 Murder of Amanda Dowler and two fatal hammer attacks on young women in South West London in 2003 and 2004. Sentenced to life",0,3,3
"Daisy de Melker","South Africa","1923 to 1932",NA,"",NA,"3","Poisoner; killed two husbands and one son from 1923–1932.",0,3,3
"Robert Napper","United Kingdom","1992 to 1993",NA,"",NA,"3","Rapist and murderer who mutilated one of his victims so badly that the policeman who found her was put into therapy for two years. Suspected of up to 70 violent sexual attacks in South East London attributed to the unidentified ""Green Chain Rapist"".",0,3,3
"Charles Albright","United States","1991",NA,"",NA,"3","The trophies this seemingly well-adjusted former teacher took from his victims led the press to dub him the ""Texas Eyeball Killer"".",0,3,3
"Bible John","United Kingdom","1968 to 1969",NA,"",NA,"3","Unidentified strangler and rapist of young women active in Glasgow.",0,3,3
"Leonarda Cianciulli","Italy","1940",NA,"",NA,"3","Killed three women and turned them into soap and biscuits; known as ""The Soapymaker of Correggio"".",0,3,3
